,prayer,create_date,answer_date,category,up_vote
563,"Bless Casas Christian School, Josh, and his leadership team", 14-May-2022,,casas,
564,"Abel and Lyssa, that they follow You, Lord Jesus; bless and enlighten them", 11-May-2022,,brothers and sisters ,
565,Special Casas Council meeting this evening,, 06-Nov-2022,,
566,Preparation for our camping trip to Patagonia,, 06-Nov-2022,,
567,Help me communicate with Jenny about my schedule conflict,, 06-Nov-2022,,
568,Send Karli to high school event at Casas?,, 30-Oct-2022,,
569,Melanoma and its treatment,, 23-Oct-2022,,
570,See orthopedist about my knee?,, 16-Oct-2022,,
571,Get rid of my cough,, 16-Oct-2022,,
572,Dermatologist,, 16-Oct-2022,,
573,Appointments for oil change and front-end alignment,, 09-Oct-2022,,
574,Dermatologist appointment,, 09-Oct-2022,,
575,Strength and time for today's hike with Chris,, 09-Oct-2022,,
576,Schedule conflict with Ryan's visit to our small group,, 09-Oct-2022,,
577,Successful surgery and safety for my good buddy Frank,, 09-Oct-2022,,
578,Our time together with Rick and Diane as we go to a musical and eat,, 09-Oct-2022,,
579,Pastor Ryan's visit to our small group,, 09-Oct-2022,,
580,Bless our time together as Kimberly and I go to a music event,, 09-Oct-2022,,
581,Karli connection opportunity about her computer,, 18-Sep-2022,,
582,Connect with Kim,, 11-Sep-2022,,
583,"I feel bad, lacking because I said no to my daughter's request",, 11-Sep-2022,,
584,How do I respond to my daughter's request for money?,, 04-Sep-2022,,
585,Walking and hiking with the Weaver's,, 21-Aug-2022,,
586,Preparations for Michigan trip,, 21-Aug-2022,,
587,Make the Weaver's air conditioning and refrigerator work well,, 21-Aug-2022,,
588,Sharing with Kit at lunch today,, 21-Aug-2022,,
589,RV water tank,, 21-Aug-2022,,
590,Walking and hiking with the Weaver's,, 21-Aug-2022,,
591,Great time with Booth and Nicki this weekend,, 14-Aug-2022,,
592,Help me get over this cold,, 07-Aug-2022,,
593,"I grow weary of sitting around not feeling well, heal me, Lord!",, 07-Aug-2022,,
594,Anna Bell's move goes smoothly,, 07-Aug-2022,,
595,Cowboy poetry in Prescott with Booth and Nicki,, 07-Aug-2022,,
596,Help us get ready for traveling,, 07-Aug-2022,,
597,Help me process Mike's legal document,, 31-Jul-2022,,
598,Casas Church mission launch this evening,, 31-Jul-2022,,
599,"Lord, put in my heart and mind wisdom for supporting the team in the",, 31-Jul-2022,,
600,Guide Mike Fleishman as he prepares for the settlement conference,, 31-Jul-2022,,
601,Guide Jamie as she prepares a communication plan for the lawsuit,, 31-Jul-2022,,
602,Casas Council committee meeting with Pastor Glenn for negotiation,, 31-Jul-2022,,
603,Our planning and preparation for Michigan 2022,, 31-Jul-2022,,
604,Protect Casas Church from the lawsuit,, 24-Jul-2022,,
605,Mt Lemmon camping trip,, 24-Jul-2022,,
606,August 9th settlement hearing?,, 24-Jul-2022,,
607,Planning for our trip to Michigan,, 24-Jul-2022,,
608,"Lord, move in Greg Wexler's heart and mind as You see fit",, 24-Jul-2022,,
609,Bring clarity about Your will for handling the Casas lawsuit,, 24-Jul-2022,,
610,Review of Casas Church lawsuit settlement scenarios,, 24-Jul-2022,,
611,"Ram van oil change, schedule, timing, operation, et al",, 24-Jul-2022,,
612,Middle school camp this week,, 17-Jul-2022,,
613,All goes well with removal of Rick and Diane's tree,, 17-Jul-2022,,
614,The Wing family as they grieve the passing of their father,, 17-Jul-2022,,
615,Volunteer meeting to launch new Casas mission statement,, 17-Jul-2022,,
616,Safety in travel for Rick and Diane,, 17-Jul-2022,,
617,Safety in travel for Booth and Nicki,, 17-Jul-2022,,
618,Rain barrel project,, 10-Jul-2022,,
619,Karli is productive with her lines et al today,, 10-Jul-2022,,
620,A great time with Karli and the Moilanen's today,, 10-Jul-2022,,
621,Celebration lunch today with Karli,, 10-Jul-2022,,
622,Help me set up Karli's Chromebook and guide her use of it,, 10-Jul-2022,,
623,Be with and guide Karli and all the kids at the Gaslight Kids Camp,, 10-Jul-2022,,
624,Our welcome for agile coaches to the coping to growing emails,, 10-Jul-2022,,
625,Call to Delta to change pickup person,, 10-Jul-2022,,
626,Drive to Phoenix for Karli's early flight to DTW,, 10-Jul-2022,,
627,Front closet project,, 10-Jul-2022,,
628,Travel to Sky Harbor early Monday morning,, 10-Jul-2022,,
629,Our planning and preparation for Michigan 2022,, 10-Jul-2022,,
630,"Middle School Ministries for Karli this evening, Lord Jesus teach her",, 03-Jul-2022,,
631,Give Karli the memory she needs to audition successfully. May the,, 03-Jul-2022,,
632,"Lord, help me talk to Karli about You",, 03-Jul-2022,,
633,Chromebook for Karli?,, 03-Jul-2022,,
634,"Lord, meet with Karli during her visit with us, MSM, and Gaslight",, 03-Jul-2022,,
635,Karli will find friendship at Gaslight Kids Camp and MSM,, 03-Jul-2022,,
636,That Karli will have courage and be bold at Gaslight Kids Camp,, 03-Jul-2022,,
637,Casas fall kickoff and mission launch,, 03-Jul-2022,,
638,Bring peace to Karli and interactions with her compadres,, 03-Jul-2022,,
639,Inspiration for Karli and me at worship team rehearsal,, 03-Jul-2022,,
640,A chance to share with Karli our families' and my stories,, 03-Jul-2022,,
641,Karli and friends know their lines and nail their performances,, 03-Jul-2022,,
642,Bob's heart condition,, 26-Jun-2022,,
643,Safety and enjoyment for Kit and Alison during their trip,, 26-Jun-2022,,
644,Effective communication with Karli and Karen about traveling,, 26-Jun-2022,,
645,How can we engage with David while his parents are gone?,, 26-Jun-2022,,
646,Robin's new medicine arrives right away,, 26-Jun-2022,,
647,Arrival of Robin's new medicine and its efficacy,, 26-Jun-2022,,
648,Christopher stuck in Mexico with covid,, 26-Jun-2022,,
649,A third iteration of the Google Ads landing page,, 26-Jun-2022,,
650,Safe travels and timelines for me. Karen. and Karli today,, 26-Jun-2022,,
651,Collagen to strengthen my joints and body?,, 19-Jun-2022,,
652,Dwight Yoakam at the Rialto in September?,, 19-Jun-2022,,
653,Travel to Michigan this summer?,, 19-Jun-2022,,
654,What is Casas's new mission statement?,, 19-Jun-2022,,
655,Help me explain to Kit what is going on at Casas,, 19-Jun-2022,,
656,High school camp,, 19-Jun-2022,,
657,Staff retreat,, 19-Jun-2022,,
658,Frank's neck surgery in early October,, 19-Jun-2022,,
659,TLB Elite and collaboration session today,, 12-Jun-2022,,
660,TLB Elite meeting this week?,, 12-Jun-2022,,
661,Preparations and safe travel for Mingus Mountain,, 12-Jun-2022,,
662,Safe travels for Kim and timely return,, 05-Jun-2022,,
663,All is well with the camper van,, 05-Jun-2022,,
664,Camping with friends at Mingus Mountain,, 05-Jun-2022,,
665,Karen Dietz's and Karli's time together,, 05-Jun-2022,,
666,"Chuck is coming home today, entering the next phase of recovery",, 05-Jun-2022,,
667,Our camping trip to Mingus Mountain?,, 05-Jun-2022,,
668,Arrangements for Karli's return after Gaslight camp,, 05-Jun-2022,,
669,Safe travels for Kim and timely return,, 05-Jun-2022,,
670,May funds arrive in time to avoid a bounced check,, 29-May-2022,,
671,"A great time of fellowship with Glenn, Angie, and our small group",, 29-May-2022,,
672,Understanding of how the banking system works,, 29-May-2022,,
673,Flight arrangements for Karli's visit,, 29-May-2022,,
674,"Lord, help me straighten out this overdraft mess",, 29-May-2022,,
675,Achieving Chuck's therapy goals so he can come home,, 29-May-2022,,
676,Alison's shoulder physical therapy enables her to play golf,, 29-May-2022,,
677,A great hike leading us up Mt Lemmon,, 29-May-2022,,
678,Withdrawal for 2021 taxes,, 29-May-2022,,
679,Preparations for Pastor Glenn's and Angie's visit,, 29-May-2022,,
680,Am I in bounds with my Casa Council request to review?,, 29-May-2022,,
681,Words of welcome for Pastor Glenn and Angie?,, 29-May-2022,,
682,Where for Karli after Gaslight camp?,, 29-May-2022,,
683,Safety and fun for all during today's cactus rescue,, 29-May-2022,,
684,Robert Wing's father Bob as he struggles with old age,, 22-May-2022,,
685,Bible study at the Fowler's,, 22-May-2022,,
686,"Humming pipes, Lord, please help me find the cause and fix it",, 22-May-2022,,
687,Email security for Casas Council and the church,, 15-May-2022,,
688,"Is this a cold coming on? Lord, help me get through it quickly.",, 15-May-2022,,
689,Chuck to get past his episodes of low blood pressure,, 15-May-2022,,
690,Hiking today,, 08-May-2022,,
691,Effectiveness of rehab for Chuck,, 08-May-2022,,
692,Chuck and rehab - may Your will be done,, 08-May-2022,,
693,Rehab for Chuck?,, 08-May-2022,,
694,Visiting Chuck today?,, 08-May-2022,,
695,Small group Bible study this Saturday,, 01-May-2022,,
696,Dinner and games with the Weaver's,, 01-May-2022,,
697,Dinner and the Fox with Kit and Alison this Friday,, 01-May-2022,,
698,Termite protection?,, 01-May-2022,,
699,Safety and awe on today's hike with Kit and Dave W,, 01-May-2022,,
700,Dinner and games at the Weaver's,, 01-May-2022,,
701,Romans Bible study at our house with Robin,, 01-May-2022,,
702,May Chuck's friends and family find time to visit him,, 01-May-2022,,
703,Visiting Chuck and traveling with Kris,, 01-May-2022,,
704,Small group Bible study this Saturday,, 01-May-2022,,
705,Mastery with Bill today,, 24-Apr-2022,,
706,Kris Mattson's visit and hiking with Kit,, 24-Apr-2022,,
707,"Thank you, Lord for Karli’s call, about the Thomas family history and",, 24-Apr-2022,,
708,Review of 2021 taxes,, 24-Apr-2022,,
709,TLBE 90-day priorities,, 24-Apr-2022,,
710,Leave for camping Sunday at White Rock,, 24-Apr-2022,,
711,Safe travels for Ryan and Savanna,, 24-Apr-2022,,
712,Devotional for May,, 24-Apr-2022,,
713,Completing April devotional,, 24-Apr-2022,,
714,Many new people to know You at Easter service,, 17-Apr-2022,,
715,Great Easter service with Ryan and Savanna with a message from You,, 17-Apr-2022,,
716,Safe travels for Laurie and Robert,, 10-Apr-2022,,
717,Great lunch with Laurie and Robert,, 10-Apr-2022,,
718,Wrapping up text on Leadership Scorecard results page,, 10-Apr-2022,,
719,Preparation of MKS (check engine light) for emissions test,, 10-Apr-2022,,
720,Farewell dinner with Laurie and Robert,, 10-Apr-2022,,
721,Mike's surgery,, 10-Apr-2022,,
722,Stage Captain this week,, 10-Apr-2022,,
723,Strength and wisdom for today's hike,, 10-Apr-2022,,
724,Steinklinkers group of men Tuesday,, 10-Apr-2022,,
725,Thank you for great moments with Laurie while constructing TV cover,, 10-Apr-2022,,
726,Moilanen's patio TV,, 03-Apr-2022,,
727,Hiking today with rain in the forecast,, 03-Apr-2022,,
728,Bible study this week at Rick's and Diane's home,, 03-Apr-2022,,
729,Making April graphic with Karli,, 03-Apr-2022,,
730,Saturday mounting TV at Moilanen's,, 03-Apr-2022,,
731,Making TV cover with Laurie,, 03-Apr-2022,,
732,MKS emissions test,, 03-Apr-2022,,
733,"Lord, is refusing to cosign for my daughter the best thing?",, 27-Mar-2022,,
734,Value Proposition Design,, 27-Mar-2022,,
735,Karli's visit to youth group tonight,, 27-Mar-2022,,
736,I groan about dealing with my daughter Kimberly,, 27-Mar-2022,,
737,"Lord, be with Karli and me during our hike today",, 27-Mar-2022,,
738,"Thank you, Lord, for a great visit with Karli",, 27-Mar-2022,,
739,Safe travels for Karli as she returns home to her mom.,, 27-Mar-2022,,
740,How do I want to respond to Kimberly's text?,, 27-Mar-2022,,
741,Be with us during our dinner with Laurie and Robert this evening,, 27-Mar-2022,,
742,Be with us as we visit the presentation on baskets today,, 27-Mar-2022,,
743,Walking with Karli during her time visiting,, 20-Mar-2022,,
744,Meeting with Pastor Glenn today,, 20-Mar-2022,,
745,Meeting with Pastor Glenn this Thursday,, 20-Mar-2022,,
746,Connect with Kim today to make arrangements for Karli's visits,, 20-Mar-2022,,
747,Gaslight camp for Karli?,, 20-Mar-2022,,
748,Get Karli this Saturday,, 20-Mar-2022,,
749,Walks and talks with Karli,, 20-Mar-2022,,
750,Horseback riding with Karli Thursday (and Laurie),, 20-Mar-2022,,
751,Safe travels for Kim and Karli,, 20-Mar-2022,,
752,TV mount for Moilanen's and Robin,, 20-Mar-2022,,
753,Our time with Karli as she visits this week,, 20-Mar-2022,,
754,Lunch with Helping Hands group this Sunday?,, 20-Mar-2022,,
755,Weed control happens and is effective,, 20-Mar-2022,,
756,Christopher's business trip to California,, 20-Mar-2022,,
757,Karli with middle school group at church,, 20-Mar-2022,,
758,Fun and joy swimming,, 20-Mar-2022,,
759,Programming my watch,, 13-Mar-2022,,
760,TLB Elite?,, 13-Mar-2022,,
761,Your glory for Sunday services,, 13-Mar-2022,,
762,Strength in my hiking today,, 13-Mar-2022,,
763,Fixes for the MKS,, 13-Mar-2022,,
764,Filling out the application for TLB Elite,, 13-Mar-2022,,
765,Camera 3 today,, 13-Mar-2022,,
766,Send consciousness article to Kim?,, 06-Mar-2022,,
767,Join ministry to help people with home repair projects?,, 06-Mar-2022,,
768,Move in the lives of Your people during service today,, 06-Mar-2022,,
769,Great visit for friend of Rick and Diane,, 06-Mar-2022,,
770,Dale and Mary Buckner visit us today,, 06-Mar-2022,,
771,Reaching out to track buddies about Watkins Glen in June,, 27-Feb-2022,,
772,"Lord, please bring my daughter Kimberly home safely from Mexi37w",, 27-Feb-2022,,
773,Robin's comfort for Michael Martin Murphy's concert,, 27-Feb-2022,,
774,Finish the RCN offer for R-T course,, 27-Feb-2022,,
775,Safety for Kim as she travels in Mexico,, 27-Feb-2022,,
776,Become part of the Casas board?,, 27-Feb-2022,,
777,Michael Martin Murphy concert Friday,, 20-Feb-2022,,
778,Bible study for small group?,, 20-Feb-2022,,
779,Sunday services powerful communing with God,, 20-Feb-2022,,
780,Church youth group going to Mexi38w,, 20-Feb-2022,,
781,Leading our small group Bible study this Friday,, 20-Feb-2022,,
782,Jeep adventure with Dave Weaver,, 20-Feb-2022,,
783,Hiking with Kit today,, 20-Feb-2022,,
784,Robin feels well enough for trip to Wickenburg,, 13-Feb-2022,,
785,PB's February devotional,, 13-Feb-2022,,
786,Bless our time at Gospel Rescue Mission; may Your will be done,, 13-Feb-2022,,
787,Keep my path straight and my eyes on You in my travels today,, 13-Feb-2022,,
788,Intimacy in our Bible study this week,, 06-Feb-2022,,
789,Cowboy poetry festival with Booth and Nicki,, 06-Feb-2022,,
790,Guide me in lunch with Tyler,, 06-Feb-2022,,
791,Visit to Gospel Rescue Mission,, 06-Feb-2022,,
792,Submit PB's devotional to YouVerse?,, 06-Feb-2022,,
793,Our trip to Wickenburg,, 06-Feb-2022,,
794,May Robin's doctor's visit ease her struggle and make her feel better,, 06-Feb-2022,,
795,Intimacy in our Bible study this week,, 06-Feb-2022,,
796,My interaction with Peter Calvert,, 30-Jan-2022,,
797,Our trip to Organ Pipe with our neighbors,, 23-Jan-2022,,
798,Knee exercises alleviate stiffness and promote flexibility,, 16-Jan-2022,,
799,Kim and Karli visit for the Gem and Mineral Sow?,, 16-Jan-2022,,
800,Hernia surgery follow up tomorrow,, 09-Jan-2022,,
801,Small group Bible study this week,, 09-Jan-2022,,
802,Hiking with knee strength today,, 09-Jan-2022,,
803,"Prevention and healing for Phil, Booth, Kit, Buddy, and Greg",, 09-Jan-2022,,
804,"Donate to The Chosen, The Bible Project",, 09-Jan-2022,,
805,Small group Bible study tonight,, 09-Jan-2022,,
806,Karli's not feeling well,, 09-Jan-2022,,
807,Leadership Scorecard on our homepage,, 09-Jan-2022,,
808,Bring people to enroll in Cohort 6,, 09-Jan-2022,,
809,Hiking and knee improvement,, 09-Jan-2022,,
810,Hiking with knee strength today,, 09-Jan-2022,,
811,TRC persona,, 26-Dec-2021,,
812,"Robin, Immersion?",, 26-Dec-2021,,
813,"Our Christmas at Casas service; the workers, production, visitors, ...",, 26-Dec-2021,,
814,Laurie and Robert attending Christmas at Casa?,, 26-Dec-2021,,
815,People over for hand and foot this evening,, 19-Dec-2021,,
816,Getting stitches removed today,, 19-Dec-2021,,
817,"Constipated? Help me, Lord!",, 19-Dec-2021,,
818,Hernia surgery tomorrow,, 19-Dec-2021,,
819,Robin's social security?,, 19-Dec-2021,,
820,Painting of kitchen island and nook,, 12-Dec-2021,,
821,Removal of odors from Robin's Christmas tree blanket,, 12-Dec-2021,,
822,Health and recovery for Ryan and Savanna,, 12-Dec-2021,,
823,"Christmas dinner with Laurie, Robert, Linda, and Bob",, 12-Dec-2021,,
824,Work out our finances for giving,, 12-Dec-2021,,
825,Time of visit with Karli over Christmas season,, 12-Dec-2021,,
826,"A great hike today, strengthen my knee and remove soreness",, 12-Dec-2021,,
827,Waters Edge 2022?,, 12-Dec-2021,,
828,Draw closer to Mike through our football pool,, 12-Dec-2021,,
829,Big toe and ball of foot,, 12-Dec-2021,,
830,DMARC et al,, 12-Dec-2021,,
831,Purchase an expensive painting?,, 05-Dec-2021,,
832,Successful testing meeting with Sara,, 05-Dec-2021,,
833,Mole surgery today,, 05-Dec-2021,,
834,Duraboon an ounanaiva naintina?,, 05-Dec-2021,,
835,Pastor Ben's devotional for December,, 28-Nov-2021,,
836,Glorify You Lord at Thanksgiving dinner,, 28-Nov-2021,,
837,Get to end of job for the RBS play,, 28-Nov-2021,,
838,Strength to complete our hike today,, 28-Nov-2021,,
839,لمن لمملا remove bio pain: ao ba feels remarkably better by Sunday,, 21-Nov-2021,,
840,"Heal Rick, remove his pain; so he feels remarkably better by Sunday",, 13-Nov-2021,,
841,May my dental procedure go well this morning,, 13-Nov-2021,,
842,May all our preparations for camping go smoothly today,, 13-Nov-2021,,
843,Camping with friends at Roper Lake,, 13-Nov-2021,,
844,"Safe travels for Kim, Karli, and Anthony",, 12-Nov-2021,,
845,How can I ensure I do not miss my appointments?,, 12-Nov-2021,,
846,Tension between Robin and Kim during their discussion,, 09-Nov-2021,,
847,Our time together with Karli at craft market,, 09-Nov-2021,,
848,Time together with Kim and Karli at Rooster Cogburn's today,, 08-Nov-2021,,
849,"Karli in Casas MSM today! Work in her heart, may others show her love",, 07-Nov-2021,,
850,Movies with Karli,, 04-Nov-2021,,
851,Swimming with Karli,, 04-Nov-2021,,
852,Planting saguaro with Karli,, 04-Nov-2021,,
853,"Catch my feelings that Robin is judgemental about Karli, Kim, and",, 04-Nov-2021,,
854,Providing funds for Kim's travel expenses,, 04-Nov-2021,,
855,Meshing our schedule today with Kim's arrival,, 03-Nov-2021,,
856,Cancellation of PT this morning,, 03-Nov-2021,,
857,"Breakfast and a great time with Karli, Kim, and Anthony today",, 03-Nov-2021,,
858,"Steinklinkers today, participants and how I show up",, 02-Nov-2021,,
859,Testing the RTC campaigns,, 02-Nov-2021,,
860,My hike today up the Upper Javelina,, 02-Nov-2021,,
861,Karli's accompaniment with me to worship rehearsal,, 02-Nov-2021,,
862,"Activities for Anthony, Kim, and Karli during their visit?",, 02-Nov-2021,,
863,Insurance coverage for additional PT sessions?,, 02-Nov-2021,,
864,Strengthen my knee today so my hike is good and has no detriment,, 30-Oct-2021,,
865,Resting knee today preparing for hiking the Tortolita Preserve,, 29-Oct-2021,,
866,Testing RTEC SPP,, 29-Oct-2021,,
867,Lift kit for Promaster?,, 29-Oct-2021,,
868,Readiness for hiking the Tortolita Preserve,, 28-Oct-2021,,
869,Healing for Mike's neck surgery,, 28-Oct-2021,,
870,I want to wrap up all the IS pieces for our FB marketing play,, 28-Oct-2021,,
871,Increase my walking distance and strengthen my knee,, 22-Oct-2021,,
872,Connection with my daughter Kimberly and my granddaughter Karli,, 22-Oct-2021,,
873,Surgery for the mole on my back,, 20-Oct-2021,,
874,What project can I do at church? Bird roosting?,, 18-Oct-2021,,
875,Success for Bob's heart operation and quick recovery,, 11-Oct-2021,,
876,Help me get my knee back on track,, 11-Oct-2021,,
877,"My knee, Lord, that I have done no damage to it",, 11-Oct-2021,,
878,"That I didn't overdo it on yesterday's cactus rescue, that knee is ok",, 10-Oct-2021,,
879,Hike today and the Upper Javelina tomorrow?,, 10-Oct-2021,,
880,Robin good for dinner and Asleep at the Wheel tonight,, 08-Oct-2021,,
881,Asleep at the Wheel tonight! Comfort for knee.,, 08-Oct-2021,,
882,Recovery of gastrointestinal flare up for Robin,, 08-Oct-2021,,
883,Dentist appointment for replacement of temporary root canal filling,, 08-Oct-2021,,
884,Medicare and insurance coverage of knee and hernia surgeries,, 08-Oct-2021,,
885,Knee strength and safety for TCSS cactus rescue Saturday; saguaro?,, 08-Oct-2021,,
886,"Straight knee, fully bent knee",, 08-Oct-2021,,
887,Knee surgery follow up tomorrow,, 07-Oct-2021,,
888,Cactus rescue Saturday?,, 07-Oct-2021,,
889,"Dermatologist today, may all go well",, 07-Oct-2021,,
890,A/C for the garage?,, 06-Oct-2021,,
891,"Lord, I feel sick to my stomach because of my knee; help me feel good",, 28-Sep-2021,,
892,Help me with physical therapy today,, 27-Sep-2021,,
893,Help me walk today,, 27-Sep-2021,,
894,Heal my stomach (hiccups) and knee,, 26-Sep-2021,,
895,Physical therapist and therapy ~ healing and strength for my knee,, 23-Sep-2021,,
896,"Jesus, heal my knee so that I can hike! Thank you, Lord.",, 22-Sep-2021,,
897,Keep me safe during surgery today,, 21-Sep-2021,,
898,"Lord, help my doctors with my knee surgery",, 20-Sep-2021,,
899,Preparation for knee replacement by techs and doctors,, 16-Sep-2021,,
900,Install receptacles for Linda,, 16-Sep-2021,,
901,Mastery today,, 16-Sep-2021,,
902,"Smooth knee replacement surgery, fast healing",, 15-Sep-2021,,
903,Karli's visit in October,, 15-Sep-2021,,
904,May everything go well in replacing propane regulator on the Ram,, 15-Sep-2021,,
905,Physical therapist?,, 14-Sep-2021,,
906,Physical therapist after knee replacement?,, 14-Sep-2021,,
907,"Prep for knee replacement: EKG, CT scan, et al",, 14-Sep-2021,,
908,Robin's colonoscopy goes well,, 14-Sep-2021,,
909,Fun and productive time at Casas Creative event,, 14-Sep-2021,,
910,Pastor Glenn's renewal of family relationships during his sabbatical,, 14-Sep-2021,,
911,Centering of Glenn's spiritual life and leadership during sabbatical,, 14-Sep-2021,,
912,Renewal of Pastor Glenn's walk with Jesus during his sabbatical,, 14-Sep-2021,,
913,ConvertKit Products and payments,, 14-Sep-2021,,
914,Figuring out ConvertKit and deciding to move to it,, 14-Sep-2021,,
915,Fast and effective recovery from knee replacement surgery,, 14-Sep-2021,,
916,"Knee replacement surgery is fast, efficient, and effective",, 14-Sep-2021,,
917,Smooth execution of busy schedule this week,, 14-Sep-2021,,
918,Accompaniment to concerts at the Fox,, 14-Sep-2021,,
919,"Install of LED lights DRLs, front turn signals on Ram",, 14-Sep-2021,,
920,Camera team huddle with video director,, 14-Sep-2021,,
921,PB's blog posts today,, 10-Sep-2021,,
922,Van repairs today,, 10-Sep-2021,,
923,Hernia surgery before the end of the year?,, 10-Sep-2021,,
924,Hernia surgery before the end of the year?,, 10-Sep-2021,,
925,Dishwasher repair today,, 08-Sep-2021,,
926,Hernia doctor appointment today,, 08-Sep-2021,,
927,Healing for Frank's ankle,, 07-Sep-2021,,
928,Doctors' visits: hernia and knee; elbow?,, 07-Sep-2021,,
929,Connect with Rob Hagemann,, 23-Aug-2021,,
930,Make it safely home,, 23-Aug-2021,,
931,Safety for Robin's travels,, 20-Aug-2021,,
932,Safety for Robin's travels,, 20-Aug-2021,,
933,Activity for visit to Frank's,, 20-Aug-2021,,
934,Connection with Rob Hagemann,, 20-Aug-2021,,
935,Satisfactory results for Mike's bimini,, 13-Aug-2021,,
936,For a wonderful and intimate time with Ryan and Savanna,, 13-Aug-2021,,
937,See us safely to Grand Rapids and back,, 13-Aug-2021,,
938,"Lord, facilitate my visits with Bill and Scott",, 12-Aug-2021,,
939,"Lord, guide us in our install of the power bimini top",, 12-Aug-2021,,
940,Healing for Frank's ankle,, 11-Aug-2021,,
941,Connection with Kim,, 11-Aug-2021,,
942,Heal Frank's foot so he doesn't need a screw,, 05-Aug-2021,,
943,Oil change in Michigan?,, 04-Aug-2021,,
944,Help me connect with doctors in Tucson,, 04-Aug-2021,,
945,Arrange our visits to friends and family.,, 04-Aug-2021,,
946,"My knee, Lord, what doctor?",, 04-Aug-2021,,
947,"Lord, help us manage the black tank as we travel",, 29-Jul-2021,,
948,"Lord, guide me on how to figure out A/B testing",, 29-Jul-2021,,
949,"Lord, help us figure out how to advertise on FB",, 29-Jul-2021,,
950,Time and attention to engage with Christopher as we travel,, 28-Jul-2021,,
951,Robin to feel better as we travel,, 28-Jul-2021,,
952,Clarity about FB play et al,, 28-Jul-2021,,
953,Black tank and its sensor,, 27-Jul-2021,,
954,Time and presence for walking exercise,, 27-Jul-2021,,
955,Strengthening of my knee,, 27-Jul-2021,,
956,Healing of my tooth surgery,, 27-Jul-2021,,
957,Ram charging system and house batteries,, 27-Jul-2021,,
958,Bar J Wranglers seating and parking overnight,, 27-Jul-2021,,
959,Bar J Wranglers seating,, 27-Jul-2021,,
960,"Pastor Ben's August devotional, it's receipt and preparation",, 22-Jul-2021,,
961,How to support TRC during my travels.,, 21-Jul-2021,,
962,Healing and overcoming short of antibiotics,, 21-Jul-2021,,
963,Facilitate contact with dermatologist,, 21-Jul-2021,,
964,Facilitate contact with surgeon and CT scan,, 21-Jul-2021,,
965,"Successful and easy dental surgery today, quick healing afterwards",, 15-Jul-2021,,
966,"Van preparation, safety driving",, 09-Jul-2021,,
967,"Doctor, sonogram, surgery, appointments, getting worse; Lord, help me",, 09-Jul-2021,,
968,"Doctor, sonogram, surgery, appointments, getting worse; Lord, help me",, 09-Jul-2021,,
969,"You Lord, facilitate my root canal to effectively repair the correct tooth",, 08-Jul-2021,,
970,Help me in my work on Cohort 5,, 08-Jul-2021,,
971,Guide me in wrapping up PB's devotion for July,, 08-Jul-2021,,
972,Help me respond to Lynne's email to restore my relationships with them,, 08-Jul-2021,,
973,Make it so that my tooth gets fixed.,, 06-Jul-2021,,
974,"Sunday services, tech team",, 02-Jul-2021,,
975,Marie's visit on Sunday,, 02-Jul-2021,,
976,The spare tire for the van,, 02-Jul-2021,,
977,"Beautiful sunrise, Lord. You are awesome.",, 01-Jul-2021,,
978,Please work out trip to San Diego for spare tire and LED headlights.,, 01-Jul-2021,,
979,"Lord, the desert needs rain. Please provide.",, 01-Jul-2021,,
980,Thank You for a great time working with the worship team.,, 28-Jun-2021,,
981,What about a new head unit for the van?,, 28-Jun-2021,,
982,What about a new head unit for the van?,, 28-Jun-2021,,
983,"Lord, help me get PB's devotion for July ready",, 24-Jun-2021,,
984,"Lord, work out all the details about the camper van spare tire et al",, 24-Jun-2021,,
985,Help us compete the 1st phase of Responsibility-thinking course,, 22-Jun-2021,,
986,Be with and keep me safe on my hike this morning,, 22-Jun-2021,,
987,Get Robin ready for me during the night,, 22-Jun-2021,,
988,What way to go with the spare tire for the van?,, 22-Jun-2021,,
989,"Lord, we desperately could use rain",, 22-Jun-2021,,
990,"Lord, send us rain!",, 21-Jun-2021,,
991,All systems go for putting away the van today,, 17-Jun-2021,,
992,"Lord, bring about the fix for the battery isolator.",, 10-Jun-2021,,
993,Give strength and blessings to us on our hike this morning,, 10-Jun-2021,,
994,"Lord, I want to feel better today.",, 08-Jun-2021,,
995,"Lord, keep the van's systems working properly",, 08-Jun-2021,,
996,"Lord, my aching tooth, help me get a dentist appointment today.",, 07-Jun-2021,,
997,Help me with the best attitude during our Bible study,, 04-Jun-2021,,
998,"Lord, facilitate the install of the new windshield in the Ram van",, 04-Jun-2021,,
999,This is a test prayer,07-Apr-2023,,none,
1000,This is a 2nd test prayer,07-Apr-2023,,none,
